unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1.66015E+12,8/10/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.6601E+12,8/10/2022 4:00,SOL/USD,39.274,44.064,39.16,43.872,112304.3092,4927014.651599136
1.66009E+12,8/10/2022 0:00,SOL/USD,40.367,42.884,39.16,42.588,80535.3824,3429840.865566024
1.66006E+12,8/9/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.66002E+12,8/9/2022 4:00,SOL/USD,42.41,42.766,39.172,39.274,47877.57593,1880343.916956998
1.66E+12,8/9/2022 0:00,SOL/USD,42.253,42.766,39.777,40.367,37702.88328,1521952.289404127
1.65997E+12,8/8/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65993E+12,8/8/2022 4:00,SOL/USD,41.925,43.71,41.54,42.41,52639.29021,2232432.298
1.65992E+12,8/8/2022 0:00,SOL/USD,40.624,43.71,40.578,42.253,72052.7419,3044444.503331688
1.65989E+12,8/7/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65984E+12,8/7/2022 4:00,SOL/USD,39.774,42.074,39.701,41.925,70161.48383,2941520.209614675
1.65983E+12,8/7/2022 0:00,SOL/USD,40.065,41.55,39.225,40.624,50045.78649,2033060.0304510081
1.6598E+12,8/6/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65976E+12,8/6/2022 4:00,SOL/USD,40.516,40.905,39.225,39.774,27542.13097,1095460.717
1.65974E+12,8/6/2022 0:00,SOL/USD,40.61,40.905,39.892,40.065,33784.19896,1353563.931292335
1.65972E+12,8/5/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65967E+12,8/5/2022 4:00,SOL/USD,40.134,41.34,39.43,40.516,55092.32531,2232120.652340992
1.65966E+12,8/5/2022 0:00,SOL/USD,38.733,41.34,38.707,40.61,53069.66141,2155158.95
1.65963E+12,8/4/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65959E+12,8/4/2022 4:00,SOL/USD,39.332,40.165,37.99,40.134,66103.79774,2653009.818457026
1.65957E+12,8/4/2022 0:00,SOL/USD,38.569,39.857,37.99,38.733,83221.02533,3223399.9739906904
1.65954E+12,8/3/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.6595E+12,8/3/2022 4:00,SOL/USD,38.514,40.735,38.219,39.332,61302.78559,2411161.162747216
1.65948E+12,8/3/2022 0:00,SOL/USD,39.783,40.978,37.445,38.569,261190.5723,10073859.183925787
1.65946E+12,8/2/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65941E+12,8/2/2022 4:00,SOL/USD,40.232,42.447,37.445,38.514,194215.4439,7480013.6067112265
1.6594E+12,8/2/2022 0:00,SOL/USD,41.709,42.447,39.514,39.783,57340.70074,2281185.097579203
1.65937E+12,8/1/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65933E+12,8/1/2022 4:00,SOL/USD,42.971,43.14,39.964,40.232,68928.60121,2773135.4840014162
1.65931E+12,8/1/2022 0:00,SOL/USD,42.389,43.271,40.575,41.709,68941.48119,2875480.2391205467
1.65928E+12,7/31/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65924E+12,7/31/2022 4:00,SOL/USD,43.306,45.2,42.13,42.971,63718.15488,2738032.833520364
1.65923E+12,7/31/2022 0:00,SOL/USD,43.89,45.2,42.235,42.389,62843.48777,2663872.6032520863
1.6592E+12,7/30/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65915E+12,7/30/2022 4:00,SOL/USD,41.874,46.674,41.472,43.306,82998.30646,3594324.659470148
1.65914E+12,7/30/2022 0:00,SOL/USD,41.944,46.674,41.459,43.89,88118.02757,3867500.23
1.65911E+12,7/29/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65907E+12,7/29/2022 4:00,SOL/USD,43.505,44.439,41.157,41.874,84843.37666,3552731.554
1.65905E+12,7/29/2022 0:00,SOL/USD,42.965,44.439,41.157,41.944,84879.45542,3560183.878
1.65902E+12,7/28/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65898E+12,7/28/2022 4:00,SOL/USD,39.694,44.185,39.694,43.505,56266.68877,2447882.295
1.65897E+12,7/28/2022 0:00,SOL/USD,40.239,44.185,39.048,42.965,135274.0159,5812048.093873906
1.65894E+12,7/27/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65889E+12,7/27/2022 4:00,SOL/USD,35.766,40.559,35.766,39.694,123075.9737,4885377.699293614
1.65888E+12,7/27/2022 0:00,SOL/USD,36.308,40.559,35.685,40.239,114887.5948,4622961.925748834
1.65885E+12,7/26/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65881E+12,7/26/2022 4:00,SOL/USD,36.249,36.49,34.67,35.766,53562.81788,1915727.744
1.65879E+12,7/26/2022 0:00,SOL/USD,36.607,36.834,34.67,36.308,67837.95683,2463060.536511024
1.65876E+12,7/25/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65872E+12,7/25/2022 4:00,SOL/USD,38.069,39.355,35.543,36.249,104842.026,3800418.600256506
1.65871E+12,7/25/2022 0:00,SOL/USD,40.95,41.1,36.571,36.607,110121.403,4031214.201
1.65868E+12,7/24/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65864E+12,7/24/2022 4:00,SOL/USD,39.594,42.092,37.756,38.069,58028.12206,2209072.578854416
1.65862E+12,7/24/2022 0:00,SOL/USD,39.985,42.092,39.489,40.95,43318.74966,1773902.798
1.65859E+12,7/23/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65855E+12,7/23/2022 4:00,SOL/USD,41.077,41.923,38.615,39.594,142917.3105,5658667.993639542
1.65853E+12,7/23/2022 0:00,SOL/USD,40.547,41.923,38.615,39.985,143150.608,5723877.062199505
1.65851E+12,7/22/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65846E+12,7/22/2022 4:00,SOL/USD,42.683,44.324,40.023,41.077,68732.99123,2823345.0808779406
1.65845E+12,7/22/2022 0:00,SOL/USD,43.143,44.324,40.023,40.547,75442.95868,3058985.645395225
1.65842E+12,7/21/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65838E+12,7/21/2022 4:00,SOL/USD,40.047,44.072,39.663,42.683,90810.95416,3876083.956539329
1.65836E+12,7/21/2022 0:00,SOL/USD,42.072,44.072,39.663,43.143,104203.2017,4495638.732841392
1.65833E+12,7/20/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65829E+12,7/20/2022 4:00,SOL/USD,45.52,46.307,39.903,40.047,121641.9534,4871395.308050082
1.65828E+12,7/20/2022 0:00,SOL/USD,44.857,46.307,41.313,42.072,105968.2735,4458297.204416952
1.65825E+12,7/19/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.6582E+12,7/19/2022 4:00,SOL/USD,43,47.335,42.535,45.52,118591.4822,5398284.270654401
1.65819E+12,7/19/2022 0:00,SOL/USD,43.497,47.335,42.535,44.857,162343.1396,7282226.213261485
1.65816E+12,7/18/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65812E+12,7/18/2022 4:00,SOL/USD,40.592,46.062,39.674,43,159784.7494,6870744.226221001
1.6581E+12,7/18/2022 0:00,SOL/USD,38.51,44.052,38.51,43.497,113506.7259,4937202.058125186
1.65807E+12,7/17/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65803E+12,7/17/2022 4:00,SOL/USD,39.858,41.052,38.314,40.592,52299.06848,2122923.788
1.65802E+12,7/17/2022 0:00,SOL/USD,39.607,41.052,38.314,38.51,50566.13037,1947301.6805101898
1.65799E+12,7/16/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,0,0
1.65794E+12,7/16/2022 4:00,SOL/USD,37.221,40.486,36.329,39.858,78647.30481,3134724.275
1.65793E+12,7/16/2022 0:00,SOL/USD,37.349,40.426,36.329,39.607,77897.57864,3085289.397234087
1.6579E+12,7/15/2022 16:00,SOL/USD,37.718,39.08,37.047,37.349,42620.86793,1591846.7963922678
1.65786E+12,7/15/2022 4:00,SOL/USD,37.419,39.08,36.508,37.221,74957.59057,2789996.478680412
1.65784E+12,7/15/2022 0:00,SOL/USD,37.131,39.08,36.508,37.349,71915.09167,2685956.7586334334
1.65781E+12,7/14/2022 16:00,SOL/USD,35.112,38.568,34.818,37.718,83292.96716,3141644.135
1.65777E+12,7/14/2022 4:00,SOL/USD,34.542,37.829,33.561,37.419,85086.44769,3183849.7861121097
1.65773E+12,7/13/2022 16:00,SOL/USD,33.202,35.285,32.953,35.112,67098.20112,2355952.037584992
1.65768E+12,7/13/2022 4:00,SOL/USD,33.019,35.285,33.019,34.542,30516.29267,1054093.781545308
1.65764E+12,7/12/2022 16:00,SOL/USD,34.203,34.439,31.756,33.202,103248.7859,3428066.188887366
1.6576E+12,7/12/2022 4:00,SOL/USD,33.575,34.545,32.354,33.019,74738.12714,2467778.2201677356
1.65756E+12,7/11/2022 16:00,SOL/USD,35.161,35.638,33.105,34.203,52766.05217,1804757.2824389162
1.65751E+12,7/11/2022 4:00,SOL/USD,35.786,35.806,33.207,33.575,51005.00229,1712492.952
1.65747E+12,7/10/2022 16:00,SOL/USD,36.662,37.419,34.605,35.161,42054.75277,1478687.162216292
1.65743E+12,7/10/2022 4:00,SOL/USD,37.396,37.51,35.332,35.786,20812.71069,744803.6648239121
1.65738E+12,7/9/2022 16:00,SOL/USD,38.104,38.89,36.258,36.662,14511.54451,532022.2447
1.65734E+12,7/9/2022 4:00,SOL/USD,38.299,38.89,37.06,37.396,22743.01696,850497.862
1.6573E+12,7/8/2022 16:00,SOL/USD,38.532,39.31,37.746,38.104,65837.85707,2508685.7058333843
1.65725E+12,7/8/2022 4:00,SOL/USD,38.635,39.31,36.441,38.299,96711.04087,3703936.154165233
1.65721E+12,7/7/2022 16:00,SOL/USD,38.28,39.765,36.441,38.532,111946.9728,4313540.757316751
1.65717E+12,7/7/2022 4:00,SOL/USD,37.082,39.765,36.362,38.635,124313.2452,4802842.227954284
1.65712E+12,7/6/2022 16:00,SOL/USD,35.679,38.547,35.651,38.28,168407.6371,6446644.347
1.65708E+12,7/6/2022 4:00,SOL/USD,35.512,37.601,35.512,37.082,111362.0165,4129526.295
1.65704E+12,7/5/2022 16:00,SOL/USD,33.817,36.643,33.602,35.679,205217.7869,7321965.418234237
1.65699E+12,7/5/2022 4:00,SOL/USD,35.767,36.372,33.086,35.512,205041.1947,7281422.907926488
1.65695E+12,7/4/2022 16:00,SOL/USD,34.282,36.919,33.086,33.817,158672.9805,5365844.18
1.65691E+12,7/4/2022 4:00,SOL/USD,32.618,36.919,32.405,35.767,128981.7554,4613290.444390324
1.65686E+12,7/3/2022 16:00,SOL/USD,32.332,34.921,32.288,34.282,84189.54859,2886186.1045909696
1.65682E+12,7/3/2022 4:00,SOL/USD,33.053,33.818,32.121,32.618,48299.07076,1575419.09
1.65678E+12,7/2/2022 16:00,SOL/USD,32.806,34.081,32.121,32.332,42038.52792,1359189.685
1.65673E+12,7/2/2022 4:00,SOL/USD,32.104,34.081,31.837,33.053,73400.45159,2426105.1264042696
1.65669E+12,7/1/2022 16:00,SOL/USD,32.313,33.949,31.837,32.806,145875.0275,4785576.150951178
1.65665E+12,7/1/2022 4:00,SOL/USD,33.616,33.949,31.793,32.104,227105.5259,7290995.802337856
1.6566E+12,6/30/2022 16:00,SOL/USD,32.059,35.339,31.446,32.313,283233.1027,9152111.249
1.65656E+12,6/30/2022 4:00,SOL/USD,32.952,35.339,30.886,33.616,188832.6312,6347797.731394064
1.65652E+12,6/29/2022 16:00,SOL/USD,34.583,35.066,30.886,32.059,66182.67255,2121750.2992804497
1.65648E+12,6/29/2022 4:00,SOL/USD,35.466,35.466,32.5,32.952,24016.31339,791385.5589590879
1.65643E+12,6/28/2022 16:00,SOL/USD,36.994,37.143,33.58,34.583,97421.65096,3369132.955115097
1.65639E+12,6/28/2022 4:00,SOL/USD,37.701,39.839,35.011,35.466,90023.17158,3192761.803
1.65635E+12,6/27/2022 16:00,SOL/USD,38.657,39.839,36.973,36.994,84230.22509,3116012.9469794603
1.6563E+12,6/27/2022 4:00,SOL/USD,40.188,41.198,36.973,37.701,92043.66917,3470138.371189665
1.65626E+12,6/26/2022 16:00,SOL/USD,40.592,41.35,38.25,38.657,89192.20475,3447903.059098064
1.65622E+12,6/26/2022 4:00,SOL/USD,41.48,42.432,38.941,40.188,56707.10483,2278945.129028604
1.65617E+12,6/25/2022 16:00,SOL/USD,39.845,42.542,39.755,40.592,46844.73834,1901521.6187378718
1.65613E+12,6/25/2022 4:00,SOL/USD,41.36,42.57,39.75,41.48,66469.27779,2757145.6427291995
1.65609E+12,6/24/2022 16:00,SOL/USD,40.027,42.862,39.43,39.845,100769.8131,4015173.202
1.65604E+12,6/24/2022 4:00,SOL/USD,38.85,42.862,37.739,41.36,150409.093,6220920.087
1.656E+12,6/23/2022 16:00,SOL/USD,37.21,41.262,36.255,40.027,192207.476,7693488.6422922965
1.65596E+12,6/23/2022 4:00,SOL/USD,35.151,39.578,34.984,38.85,166240.0709,6458426.753
1.65591E+12,6/22/2022 16:00,SOL/USD,34.7,37.717,33.858,37.21,110329.8182,4105372.534
1.65587E+12,6/22/2022 4:00,SOL/USD,34.681,36.02,33.858,35.151,53476.96869,1879768.9262815863
1.65583E+12,6/21/2022 16:00,SOL/USD,37.933,38.547,33.636,34.7,100056.0798,3471945.97
1.65578E+12,6/21/2022 4:00,SOL/USD,35.154,35.943,34.534,34.681,941.319349,32645.89634
1.65574E+12,6/20/2022 16:00,SOL/USD,35.264,39.09,33.765,37.933,162448.6281,6162163.809072439
1.6557E+12,6/20/2022 4:00,SOL/USD,32.245,36.835,31.7,35.154,199904.389,7027438.891
1.65565E+12,6/19/2022 16:00,SOL/USD,33.496,36.835,31.7,35.264,238787.5385,8420603.757
1.65561E+12,6/19/2022 4:00,SOL/USD,30.041,35.3,28.808,32.245,183386.7997,5913307.355842825
1.65557E+12,6/18/2022 16:00,SOL/USD,29.755,33.555,27.1,33.496,209221.3496,7008078.325
1.65552E+12,6/18/2022 4:00,SOL/USD,30.042,32.261,27.1,30.041,206951.4412,6217028.246380963
1.65548E+12,6/17/2022 16:00,SOL/USD,31.217,32.065,27.811,29.755,105330.0437,3134095.451
1.65544E+12,6/17/2022 4:00,SOL/USD,30,32.075,29.744,30.042,81342.71731,2443697.913547188
1.6554E+12,6/16/2022 16:00,SOL/USD,31.232,32.637,29.242,31.217,177682.7285,5546721.735116245
1.65535E+12,6/16/2022 4:00,SOL/USD,33.783,34.195,29.242,30,259235.612,7777068.36
1.65531E+12,6/15/2022 16:00,SOL/USD,29.48,35.966,28.111,31.232,370697.7577,11577632.368705025
1.65527E+12,6/15/2022 4:00,SOL/USD,28.763,35.966,28.111,33.783,215093.3102,7266497.297033931
1.65522E+12,6/14/2022 16:00,SOL/USD,31.056,31.135,26.746,29.48,283434.3887,8355645.778492761
1.65518E+12,6/14/2022 4:00,SOL/USD,28.964,32.119,27.981,28.763,283889.0426,8165500.531958645
1.65514E+12,6/13/2022 16:00,SOL/USD,27.958,32.119,25.85,31.056,439602.1483,13652284.316797344
1.65509E+12,6/13/2022 4:00,SOL/USD,28.82,29.823,25.85,28.964,579313.5147,16779236.64087143
1.65505E+12,6/12/2022 16:00,SOL/USD,33.992,34.227,26,27.958,445470.5794,12454466.458445828
1.65501E+12,6/12/2022 4:00,SOL/USD,32.391,34.435,27.649,28.82,242644.1019,6993003.018
1.65496E+12,6/11/2022 16:00,SOL/USD,33.699,34.732,31.05,33.992,162119.7716,5510775.275989256
1.65492E+12,6/11/2022 4:00,SOL/USD,37.563,37.872,31.486,32.391,142075.0666,4601953.482726464
1.65488E+12,6/10/2022 16:00,SOL/USD,37.975,38.005,33.157,33.699,107344.889,3617415.415152378
1.65483E+12,6/10/2022 4:00,SOL/USD,40.271,40.779,36.783,37.563,95022.38413,3569325.8150376272
1.65479E+12,6/9/2022 16:00,SOL/USD,40.333,41.366,37.461,37.975,80884.09548,3071573.526
1.65475E+12,6/9/2022 4:00,SOL/USD,39.157,41.901,38.876,40.271,84904.85274,3419203.324652269
1.6547E+12,6/8/2022 16:00,SOL/USD,39.668,41.901,38.436,40.333,93248.50567,3760991.9790267777
1.65466E+12,6/8/2022 4:00,SOL/USD,38.62,39.604,38.436,39.157,33840.11267,1325077.291858347
1.65462E+12,6/7/2022 16:00,SOL/USD,39.151,41.332,38.265,39.668,103401.2212,4101719.6438706443
1.65457E+12,6/7/2022 4:00,SOL/USD,39.563,41.332,37.181,38.62,131800.8293,5090148.027
1.65453E+12,6/6/2022 16:00,SOL/USD,42.8,43.172,37.181,39.151,168630.6109,6602057.049185998
1.65449E+12,6/6/2022 4:00,SOL/USD,41.775,44.784,38.726,39.563,205928.1687,8147136.137605529
1.65444E+12,6/5/2022 16:00,SOL/USD,39.772,44.784,38.324,42.8,163971.8704,7017996.053
1.6544E+12,6/5/2022 4:00,SOL/USD,38.16,41.901,37.943,41.775,88888.33265,3713310.096328425
1.65436E+12,6/4/2022 16:00,SOL/USD,37.788,39.872,37.361,39.772,47744.46004,1898892.6647904238
1.65432E+12,6/4/2022 4:00,SOL/USD,36.179,39.471,36.179,38.16,85969.52761,3280597.174
